rmag, phimag, dL, dS
0.005812472292, -1.22173047639, -0.0123480016903+0.0909263441522j, 0.0360462421865+0.310026601669j
0.005812472292, -1.18999721727, -0.0694047621383+0.0852901678381j, 0.0191654098911+0.329443425242j
0.005812472292, -1.15826395814, -0.0686053558583+0.0952956527786j, 0.00359223453823+0.344962765345j
0.005812472292, -1.12653069901, -0.111827805162+0.0864741117272j, 0.0104940461407+0.371377680336j
0.005812472292, -1.09479743988, -0.132281212918+0.0843176561824j, -0.151797455972+0.359298069982j
0.005812472292, -1.06306418076, -0.112186784384+0.0942667785072j, -0.259618079293+0.269425391331j
0.005812472292, -1.03133092163, -0.109105067759+0.09953447331j, -0.357781274511+0.193700502784j
0.005812472292, -0.999597662503, -0.10661967561+0.108669785724j, -0.399468401161+0.190693586835j
0.005812472292, -0.967864403376, -0.106350914536+0.116214219425j, -0.361953602263+0.275222324862j
0.005812472292, -0.936131144249, -0.110730512846+0.117360928923j, -0.263852936202+0.402302669548j
0.005812472292, -0.904397885122, -0.115110111156+0.118507638422j, -0.165752270142+0.529383014235j
0.005812472292, -0.872664625994, -0.117991261288+0.122765240322j, -0.118455968271+0.596507635549j
0.005812472292, -0.840931366867, -0.119898827037+0.127715169651j, -0.145789837219+0.570821947727j
0.005812472292, -0.80919810774, -0.121891623812+0.13238655308j, -0.169414238374+0.541343818316j
0.005812472292, -0.777464848613, -0.123884420587+0.137057936509j, -0.193038639529+0.511865688904j
0.005812472292, -0.745731589486, -0.125877217362+0.141729319938j, -0.216663040684+0.482387559493j
0.005812472292, -0.713998330359, -0.128910456534+0.14499787865j, -0.236180686431+0.435089766145j
0.005812472292, -0.682265071232, -0.131455693297+0.148609513616j, -0.240398420143+0.377857760484j
0.005812472292, -0.650531812105, -0.134065031149+0.152103543836j, -0.231417790843+0.34133632483j
0.005812472292, -0.618798552978, -0.136608942482+0.155604241088j, -0.221445106565+0.308657167556j
0.005812472292, -0.587065293851, -0.137663238329+0.160463668754j, -0.207541169754+0.282432564924j
0.005812472292, -0.555332034724, -0.140381429683+0.163274141799j, -0.197218082284+0.267651212837j
0.005812472292, -0.523598775597, -0.142886855785+0.166146348531j, -0.187091930487+0.253628897615j
0.005812472292, -0.49186551647, -0.144413084269+0.169433384837j, -0.179411198248+0.241247217674j
0.005812472292, -0.460132257343, -0.145888743253+0.172586084523j, -0.172397870385+0.228191518493j
0.005812472292, -0.428398998215, -0.148193178252+0.174860135964j, -0.166190538149+0.215052542326j
0.005812472292, -0.396665739088, -0.149870391798+0.177353837219j, -0.159308914626+0.202310657673j
0.005812472292, -0.364932479961, -0.151220549475+0.179811194229j, -0.150431643406+0.187333540105j
0.005812472292, -0.333199220834, -0.153124722704+0.181491351027j, -0.141332074201+0.172185518078j
0.005812472292, -0.301465961707, -0.154427469874+0.183491438376j, -0.13083040643+0.157244588657j
0.005812472292, -0.26973270258, -0.156089072293+0.185023182622j, -0.119416671545+0.141303274013j
0.005812472292, -0.237999443453, -0.157389403867+0.186856562778j, -0.10735777884+0.125700288414j
0.005812472292, -0.206266184326, -0.157916437881+0.188261518912j, -0.0945208925301+0.109265415055j
0.005812472292, -0.174532925199, -0.157960573355+0.190349263809j, -0.0815765999355+0.0925335856605j
0.005812472292, -0.142799666072, -0.158709072336+0.19125535374j, -0.0665544693786+0.0766378812655j
0.005812472292, -0.111066406945, -0.159729141182+0.191278863815j, -0.0517773660975+0.0595577659684j
0.005812472292, -0.0793331478177, -0.160749210029+0.191302373889j, -0.0370002628165+0.0424776506714j
0.005812472292, -0.0475998886906, -0.161769278876+0.191325883964j, -0.0222231595355+0.0253975353744j
0.005812472292, -0.0158666295635, -0.161699950609+0.191892111779j, -0.00690184043428+0.0087555976766j
0.005812472292, 0.0158666295635, -0.160851382636+0.192834230555j, 0.00824260543072-0.00825377776906j
